Epoch,Train_Loss,Val_Loss,Mean_IoU,Trees,Lush_Bushes,Dry_Grass,Dry_Bushes,Ground_Clutter,Flowers,Logs,Rocks,Landscape,Sky
1,83.2462,26.5750,0.6700,0.8661,0.7129,0.7081,0.5035,0.3808,0.6811,0.6144,0.5406,0.7072,0.9853
2,82.3981,26.4959,0.6716,0.8672,0.7144,0.7090,0.5039,0.3847,0.6838,0.6171,0.5438,0.7070,0.9854
3,82.0208,26.4822,0.6723,0.8675,0.7149,0.7090,0.5046,0.3834,0.6844,0.6215,0.5451,0.7074,0.9854
